1 | UTTARABANK | 22.7 | 22.8 | 21.7 | 22.7 | 21.8 | 0.9 | 3,979 | 445.0840 | 19,895,382 | 
2 | BSC | 118.3 | 122 | 115 | 118.3 | 114.7 | 3.6 | 5,871 | 389.9330 | 3,275,325 | 
3 | CITYBANK | 25.5 | 26.9 | 25.4 | 25.5 | 25.8 | -0.3 | 3,215 | 363.5300 | 14,168,512 | 
4 | SQURPHARMA | 232.2 | 234.1 | 229.3 | 232.2 | 229.8 | 2.4 | 3,192 | 286.0030 | 1,232,026 | 
5 | MALEKSPIN | 29 | 29.2 | 27.3 | 29 | 26.6 | 2.4 | 4,067 | 250.2640 | 8,710,706 | 
6 | JAMUNABANK | 21.2 | 21.5 | 20.9 | 21.2 | 21.2 | 0 | 1,507 | 249.1430 | 11,773,385 | 
7 | OLYMPIC | 172.9 | 176.9 | 167 | 172.9 | 166.9 | 6 | 3,306 | 214.6940 | 1,240,047 | 
8 | MJLBD | 103.9 | 104.5 | 96.7 | 103.9 | 96.4 | 7.5 | 3,351 | 186.7790 | 1,854,481 | 
9 | BXPHARMA | 118.4 | 120.2 | 113.5 | 118.4 | 113.2 | 5.2 | 2,455 | 181.5470 | 1,534,933 | 
10 | BSCPLC | 149.8 | 149.8 | 138.7 | 149.8 | 136.2 | 13.6 | 1,967 | 170.6560 | 1,154,826 | 
11 | ROBI | 28.4 | 28.8 | 27.7 | 28.4 | 27.5 | 0.9 | 2,736 | 170.4300 | 6,015,788 | 
12 | BRACBANK | 69.9 | 71.8 | 69 | 69.9 | 70.7 | -0.8 | 2,232 | 155.9820 | 2,226,442 | 
13 | EHL | 87.8 | 89.5 | 84.7 | 87.8 | 85.2 | 2.6 | 3,142 | 135.0540 | 1,557,725 | 
14 | LANKABAFIN | 18.2 | 18.3 | 17 | 18.2 | 16.8 | 1.4 | 2,712 | 132.2720 | 7,446,083 | 
15 | BANKASIA | 19.6 | 20.2 | 19.5 | 19.6 | 19.5 | 0.1 | 1,226 | 129.0910 | 6,511,998 | 
16 | ITC | 42.1 | 43.5 | 39.8 | 42.1 | 39.6 | 2.5 | 2,610 | 127.0460 | 3,027,677 | 
17 | LOVELLO | 91.5 | 93.2 | 89.9 | 91.5 | 92.4 | -0.9 | 3,528 | 123.0820 | 1,351,290 | 
18 | BATBC | 306.6 | 309.7 | 303 | 306.6 | 302.3 | 4.3 | 2,723 | 122.3110 | 398,499 | 
19 | IPDC | 20 | 20.3 | 18.8 | 20 | 18.9 | 1.1 | 2,110 | 121.2940 | 6,229,280 | 
20 | MERCANBANK | 10.6 | 10.9 | 10 | 10.6 | 10.2 | 0.4 | 1,350 | 112.5170 | 10,755,762 | 
21 | EBL | 26.9 | 27.4 | 26.8 | 26.9 | 26.8 | 0.1 | 747 | 109.8370 | 4,057,085 | 
22 | FEKDIL | 17.3 | 17.9 | 16.8 | 17.3 | 16.5 | 0.8 | 2,267 | 108.5520 | 6,255,210 | 
23 | ASIATICLAB | 46.7 | 47.4 | 44.1 | 46.7 | 44.4 | 2.3 | 1,702 | 108.1360 | 2,358,529 | 
24 | LHB | 60.9 | 62.5 | 58.8 | 60.9 | 58.8 | 2.1 | 2,221 | 107.4370 | 1,762,444 | 
25 | ISLAMIBANK | 48.4 | 48.9 | 46 | 48.4 | 45.8 | 2.6 | 2,529 | 101.4890 | 2,120,977 | 
26 | SOUTHEASTB | 10.7 | 11 | 10.1 | 10.7 | 10 | 0.7 | 1,527 | 99.2450 | 9,358,578 | 
27 | ONEBANKPLC | 9 | 9.1 | 8.5 | 9 | 8.6 | 0.4 | 1,508 | 92.0630 | 10,342,746 | 
28 | DSSL | 11 | 11.8 | 10.9 | 11 | 10.9 | 0.1 | 2,107 | 91.6750 | 8,139,346 | 
29 | PUBALIBANK | 31.9 | 32.7 | 30 | 31.7 | 30.1 | 1.8 | 1,033 | 89.5790 | 2,804,131 | 
30 | DHAKABANK | 12.7 | 12.9 | 12.6 | 12.7 | 12.7 | 0 | 1,074 | 88.4860 | 6,955,238 | 
31 | STANDBANKL | 7.7 | 7.7 | 7.2 | 7.7 | 7 | 0.7 | 1,094 | 85.9410 | 11,252,524 | 
32 | RAHIMAFOOD | 148.2 | 156 | 147 | 148.2 | 150.1 | -1.9 | 3,179 | 84.6220 | 559,121 | 
33 | ORIONINFU | 356 | 364.9 | 354 | 356 | 352.5 | 3.5 | 2,092 | 84.1940 | 234,891 | 
34 | PRIMEBANK | 28.4 | 29.3 | 28.3 | 28.4 | 29.1 | -0.7 | 750 | 81.7310 | 2,840,854 | 
35 | SEAPEARL | 52.1 | 53 | 50.2 | 52.1 | 51.9 | 0.2 | 1,993 | 81.1430 | 1,565,068 | 
36 | AIL | 48.1 | 49.5 | 48 | 48.1 | 47.5 | 0.6 | 2,117 | 80.7860 | 1,655,811 | 
37 | NAVANAPHAR | 57.1 | 57.6 | 56.1 | 57.1 | 55.7 | 1.4 | 1,849 | 78.6620 | 1,380,989 | 
38 | RENATA | 511.9 | 517.8 | 510 | 511.9 | 510.9 | 1 | 1,657 | 76.7310 | 149,275 | 
39 | UCB | 11.6 | 11.8 | 10.9 | 11.6 | 10.8 | 0.8 | 1,451 | 73.5050 | 6,322,746 | 
40 | BEACHHATCH | 46.7 | 47.5 | 46.5 | 46.7 | 46.6 | 0.1 | 1,899 | 73.4810 | 1,566,761 | 
41 | FINEFOODS | 262.3 | 262.8 | 256.1 | 262.3 | 259.3 | 3 | 715 | 73.4120 | 280,833 | 
42 | IDLC | 42.4 | 43.8 | 41.8 | 42.4 | 42.4 | 0 | 1,386 | 73.2150 | 1,719,533 | 
43 | CVOPRL | 146.4 | 147.3 | 141.7 | 146.4 | 142.1 | 4.3 | 2,324 | 72.6700 | 501,602 | 
44 | CONFIDCEM | 58.6 | 58.9 | 56.2 | 58.6 | 55.9 | 2.7 | 2,007 | 71.1860 | 1,233,330 | 
45 | NCCBANK | 13.1 | 13.3 | 12.9 | 13.1 | 13 | 0.1 | 700 | 67.8140 | 5,159,753 | 
